Entity,Code,Year,"1.3.1 - [ILO] Proportion of population covered by at least one social protection benefit, by sex (%) - SI_COV_BENFTS - Both sexes"
Afghanistan,AFG,2019,7.52
Africa (UN),UN_AFR,2015,15.2
Africa (UN),UN_AFR,2016,15.5
Africa (UN),UN_AFR,2017,16
Africa (UN),UN_AFR,2018,16.3
Africa (UN),UN_AFR,2019,16.8
Africa (UN),UN_AFR,2020,17.4
Africa (UN),UN_AFR,2021,18.1
Africa (UN),UN_AFR,2022,18.8
Africa (UN),UN_AFR,2023,19.1
Algeria,DZA,2021,60.15
Andorra,AND,2022,86.7
Angola,AGO,2022,8.7
Anguilla,AIA,2019,57.72
Anguilla,AIA,2020,68.87
Antigua and Barbuda,ATG,2020,65.41
Argentina,ARG,2015,67
Argentina,ARG,2019,63.75
Argentina,ARG,2021,65.95
Armenia,ARM,2015,47.28
Armenia,ARM,2019,54.35
Armenia,ARM,2021,49.21
Aruba,ABW,2019,86.98
Aruba,ABW,2020,87
Aruba,ABW,2021,94.34
Asia (UN),UN_ASI,2015,38.9
Asia (UN),UN_ASI,2016,40.7
Asia (UN),UN_ASI,2017,41.9
Asia (UN),UN_ASI,2018,42.8
Asia (UN),UN_ASI,2019,43.8
Asia (UN),UN_ASI,2020,46.6
Asia (UN),UN_ASI,2021,49.8
Asia (UN),UN_ASI,2022,51.9
Asia (UN),UN_ASI,2023,52.9
Australia,AUS,2015,82.04
Australia,AUS,2022,94.01
Australia and New Zealand (UN SDG),UNSDG_ANZ,2015,84.9
Australia and New Zealand (UN SDG),UNSDG_ANZ,2016,86.3
Australia and New Zealand (UN SDG),UNSDG_ANZ,2017,87.7
Australia and New Zealand (UN SDG),UNSDG_ANZ,2018,89.1
Australia and New Zealand (UN SDG),UNSDG_ANZ,2019,90.6
Australia and New Zealand (UN SDG),UNSDG_ANZ,2020,92
Australia and New Zealand (UN SDG),UNSDG_ANZ,2021,93.6
Australia and New Zealand (UN SDG),UNSDG_ANZ,2022,95
Australia and New Zealand (UN SDG),UNSDG_ANZ,2023,95.2
Austria,AUT,2015,98.64
Austria,AUT,2018,100
Austria,AUT,2022,100
Azerbaijan,AZE,2015,40.3
Azerbaijan,AZE,2019,39.02
Azerbaijan,AZE,2023,35.2
Bahamas,BHS,2019,49.86
Bahamas,BHS,2020,49.1
Bahrain,BHR,2019,75.05
Bahrain,BHR,2022,86.41
Bangladesh,BGD,2021,22.04
Barbados,BRB,2020,56.74
Belarus,BLR,2019,36
Belgium,BEL,2015,100
Belgium,BEL,2016,100
Belgium,BEL,2018,100
Belgium,BEL,2019,100
Belgium,BEL,2022,100
Belize,BLZ,2019,37.87
Belize,BLZ,2021,31.99
Benin,BEN,2019,7.8
Benin,BEN,2020,8.4
Bermuda,BMU,2019,80.6
Bermuda,BMU,2020,80.6
Bermuda,BMU,2021,80.03
Bhutan,BTN,2019,8.84
Bhutan,BTN,2021,11.89
Bolivia,BOL,2015,40.78
Bolivia,BOL,2019,33.5
Bolivia,BOL,2021,38.45
Bosnia and Herzegovina,BIH,2021,54.54
Botswana,BWA,2015,15.44
Botswana,BWA,2019,14.66
Botswana,BWA,2022,13.54
Brazil,BRA,2015,59.84
Brazil,BRA,2018,74.9
Brazil,BRA,2019,69.91
Brazil,BRA,2021,72.7
Brazil,BRA,2022,71.23
British Virgin Islands,VGB,2022,78.28
Brunei,BRN,2019,34.11
Brunei,BRN,2021,35.95
Bulgaria,BGR,2015,88.26
Bulgaria,BGR,2022,82.76
Burkina Faso,BFA,2015,7.53
Burkina Faso,BFA,2019,9.93
Burkina Faso,BFA,2021,9.68
Burundi,BDI,2022,16.13
Cambodia,KHM,2019,6.17
Cambodia,KHM,2022,20.8
Cameroon,CMR,2015,8.73
Cameroon,CMR,2019,7.09
Cameroon,CMR,2020,10.3
Cameroon,CMR,2022,10.01
Canada,CAN,2015,99.84
Canada,CAN,2018,100
Canada,CAN,2022,95.62
Cape Verde,CPV,2016,43.6
Cape Verde,CPV,2017,46
Cape Verde,CPV,2018,48.4
Cape Verde,CPV,2019,50
Cape Verde,CPV,2020,51.4
Cape Verde,CPV,2021,57
Cape Verde,CPV,2022,58.1
Cape Verde,CPV,2023,60.3
Cayman Islands,CYM,2021,94.24
Central African Republic,CAF,2019,3.54
Central and Southern Asia (UN SDG),UNSDG_CSA,2015,20
Central and Southern Asia (UN SDG),UNSDG_CSA,2016,22.1
Central and Southern Asia (UN SDG),UNSDG_CSA,2017,22.7
Central and Southern Asia (UN SDG),UNSDG_CSA,2018,23.2
Central and Southern Asia (UN SDG),UNSDG_CSA,2019,23.7
Central and Southern Asia (UN SDG),UNSDG_CSA,2020,27.2
Central and Southern Asia (UN SDG),UNSDG_CSA,2021,31.2
Central and Southern Asia (UN SDG),UNSDG_CSA,2022,35.1
Central and Southern Asia (UN SDG),UNSDG_CSA,2023,36.3
Chad,TCD,2022,2.48
Chile,CHL,2015,69.16
Chile,CHL,2017,69.2
Chile,CHL,2018,70.2
Chile,CHL,2019,70.24
Chile,CHL,2022,75.3
China,CHN,2015,63
China,CHN,2017,67.4
China,CHN,2019,70.8
China,CHN,2021,75.57
Colombia,COL,2015,40.76
Colombia,COL,2019,52.48
Colombia,COL,2021,49.7
Colombia,COL,2022,54.33
Comoros,COM,2022,3.09
Cook Islands,COK,2019,86.3
Cook Islands,COK,2022,100
Costa Rica,CRI,2015,72
Costa Rica,CRI,2017,72
Costa Rica,CRI,2019,56.7
Costa Rica,CRI,2021,60.5
Costa Rica,CRI,2022,59.75
Cote d'Ivoire,CIV,2022,12.08
Croatia,HRV,2015,76.5
Croatia,HRV,2019,79
Croatia,HRV,2022,81.38
Cuba,CUB,2019,48.75
Cuba,CUB,2022,63.9
Curacao,CUW,2020,47.92
Cyprus,CYP,2015,85.84
Cyprus,CYP,2022,98.77
Czechia,CZE,2015,78.9
Czechia,CZE,2019,77.9
Czechia,CZE,2023,78.95
Democratic Republic of Congo,COD,2022,5.15
Denmark,DNK,2015,89.54
Denmark,DNK,2018,93.2
Denmark,DNK,2023,100
Developing regions,,2015,34.4
Developing regions,,2016,35.9
Developing regions,,2017,36.9
Developing regions,,2018,37.8
Developing regions,,2019,38.3
Developing regions,,2020,40.5
Developing regions,,2021,43
Developing regions,,2022,44.8
Developing regions,,2023,45.5
Djibouti,DJI,2019,12.3
Dominica,DMA,2019,46.84
Dominica,DMA,2020,53.24
Dominican Republic,DOM,2019,53.6
Dominican Republic,DOM,2021,54.2
Dominican Republic,DOM,2022,61.04
East Timor,TLS,2019,22.9
East Timor,TLS,2023,23.61
Eastern and South-Eastern Asia (UN SDG),UNSDG_ESEA,2015,54.6
Eastern and South-Eastern Asia (UN SDG),UNSDG_ESEA,2016,56.5
Eastern and South-Eastern Asia (UN SDG),UNSDG_ESEA,2017,58.3
Eastern and South-Eastern Asia (UN SDG),UNSDG_ESEA,2018,59.8
Eastern and South-Eastern Asia (UN SDG),UNSDG_ESEA,2019,61.2
Eastern and South-Eastern Asia (UN SDG),UNSDG_ESEA,2020,63.9
Eastern and South-Eastern Asia (UN SDG),UNSDG_ESEA,2021,67.1
Eastern and South-Eastern Asia (UN SDG),UNSDG_ESEA,2022,68
Eastern and South-Eastern Asia (UN SDG),UNSDG_ESEA,2023,69
Ecuador,ECU,2015,31.7
Ecuador,ECU,2019,40.8
Ecuador,ECU,2021,46.8
Egypt,EGY,2015,36.88
Egypt,EGY,2019,34.72
Egypt,EGY,2022,36.65
El Salvador,SLV,2017,20.4
El Salvador,SLV,2019,22.04
El Salvador,SLV,2021,18.8
Equatorial Guinea,GNQ,2021,5.17
Eritrea,ERI,2021,8.41
Estonia,EST,2015,98.39
Estonia,EST,2018,94.8
Estonia,EST,2022,96.99
Eswatini,SWZ,2019,32.04
Eswatini,SWZ,2022,36.1
Ethiopia,ETH,2019,7.4
Europe (UN),UN_EUR,2015,87.4
Europe (UN),UN_EUR,2016,87.8
Europe (UN),UN_EUR,2017,88.1
Europe (UN),UN_EUR,2018,88.3
Europe (UN),UN_EUR,2019,88.2
Europe (UN),UN_EUR,2020,88.8
Europe (UN),UN_EUR,2021,89.8
Europe (UN),UN_EUR,2022,90.7
Europe (UN),UN_EUR,2023,90.9
Europe and Northern America (UN SDG),UNSDG_ENA,2015,84.5
Europe and Northern America (UN SDG),UNSDG_ENA,2016,84.9
Europe and Northern America (UN SDG),UNSDG_ENA,2017,85.2
Europe and Northern America (UN SDG),UNSDG_ENA,2018,85.4
Europe and Northern America (UN SDG),UNSDG_ENA,2019,85.4
Europe and Northern America (UN SDG),UNSDG_ENA,2020,85.9
Europe and Northern America (UN SDG),UNSDG_ENA,2021,86.7
Europe and Northern America (UN SDG),UNSDG_ENA,2022,87.2
Europe and Northern America (UN SDG),UNSDG_ENA,2023,87.4
Fiji,FJI,2019,58.89
Fiji,FJI,2022,65.57
Finland,FIN,2015,100
Finland,FIN,2016,100
Finland,FIN,2018,100
Finland,FIN,2019,100
Finland,FIN,2022,100
France,FRA,2015,100
France,FRA,2016,100
France,FRA,2018,100
France,FRA,2019,100
France,FRA,2021,99.36
French Guiana,GUF,2019,56.62
French Guiana,GUF,2020,56.6
French Guiana,GUF,2022,61.95
Gambia,GMB,2015,6.14
Gambia,GMB,2019,6.51
Georgia,GEO,2019,97.1
Georgia,GEO,2022,94.57
Germany,DEU,2015,99.55
Germany,DEU,2018,100
Germany,DEU,2019,100
Germany,DEU,2022,100
Ghana,GHA,2015,18.27
Ghana,GHA,2019,25.3
Ghana,GHA,2022,25.19
Greece,GRC,2018,63.8
